AAA,Anaa,GLF
CPA,A. Tubman,CPA
CPB,Capurgana,CPB
CPC,San Martin de Los Andes,CPC
CPD,Coober Pedy,CPD
CPE,Campeche Int'l,CPE
CPH,Copenhagen,CPH
CPM,Compton,CPM
CPN,Cape Rodney,CPN
CPO,Chamonate,CPO
CPQ,Campinas Int'l,CPQ
CPR,Casper,CPR
CPT,International,CPT
CPV,Joao Suassuna,CPV
CPX,Culebra,CPX
CQM,Ciudad Real,CQM
CQT,Caquetania,CQT
CRA,Craiova Airport,CRA
CRD,Cdro  Rivadavia,CRD
CRF,Carnot,CRF
CRI,Crooked Island,CRI
CRK,Clark International Airport,CRK
CRL,Brussels S. Charleroi,BRU
CRM,Catarman National Airport,CRM
CRN,Cromarty Airport,CRN
CRP,Corpus Christi Int'l,CRP
CRQ,Caravelas,CRQ
CRU,Carriacou Is,CRU
CRV,crotone airport,CRV
CRW,Yeager,CRW
CSB,Caransebes,CSB
CSG,Columbus,CSG
CSK,Cap Skirring,CSK
CSL,O’Sullivan AAF,CSL
CSN,Carson City,CSN
CSO,Cochstedt,CSO
CST,Castaway,CST
CSX,Changsha,CSX
CSY,Cheboksary Airport,CSY
CTA,Fontanarossa,CTA
CTC,Catamarca,CTC
CTG,Rafael Nunez,CTG
CTL,Charleville,CTL
CTM,Chetumal,CTM
CTN,Cooktown,CTN
CTS,Chitose,SPK
CTU,Chengdu,CTU
CUC,Cucuta,CUC
CUE,Cuenca,CUE
CUF,Levaldige,CUF
CUL,Fedl De Bachigualato,CUL
CUM,Cumana,CUM
CUN,Cancun,CUN
CUP,Carupano,CUP
CUQ,Coen,CUQ
CUR,Aeropuerto Hato,CUR
CUT,Cutral,CUT
CUU,Gen Fierro Villalobos,CUU
CUY,Cue,CUY
CUZ,Velazco Astete,CUZ
CVF,Courchevel,CVF
CVG,Cincinnati/Northern Kentucky,CVG
CVJ,General Mariano Matamoros Airport,CVJ
CVL,Cape Vogel,CVL
CVM,Ciudad Victoria,CVM
CVN,Clovis Municipal,CVN
CVQ,Carnarvon,CVQ
CVR,Hughes,CVR
CVT,Coventry West Midlands Intl Airport,CVT
CWA,Central Wisonsin,AUW
CWB,Afonso Pena,CWB
CWC,Chernovtsy Airport,CWC
CWL,Cardiff,CWL
CWT,Cowra,CWT
CXA,Caicara De Oro,CXA
CXB,Cox's Bazar,CXB
CXH,Coal Harbour,YVR
CXI,Christmas Island,CXI
CXJ,Campo Dos Bugres,CXJ
CXL,Calexico Internatioanl,CXL
CXP,Tunggul Wulung,CXP
CXR,Cam Ranh International Airport,CXR
CXT,Charters Towers,CXT
CYB,Gerrard-Smith,CYB
CYC,Caye Chapel,CYC
CYG,Corryong,CYG
CYO,Vilo Acuna Airport,CYO
CYP,Calbayog,CYP
CYR,Colonia,CYR
CYS,Cheyenne,CYS
CYZ,Cauayan Airport,CYZ
CZE,Coro,CZE
CZH,Corozal,CZH
CZL,Ain El Bey,CZL
CZM,Cozumel,CZM
CZS,Campo Int'l,CZS
CZU,Corozal,CZU
CZX,Changzhou,CZX
DAB,Daytona Beach Regional,DAB
DAC,Hazrat Shahjalal International Airport,DAC
DAD,Da Nang,DAD
DAL,Love Field,DFW
DAM,Damascus Int'l,DAM
DAN,Danville Municipal,DAN
DAR,Dar Es Salaam Int'l,DAR
DAU,Daru,DAU
DAV,Enrique Malek,DAV
DAY,James Cox Dayton Int'l,DAY
DBB,Alalamain - Dabaa Intl Airport,DBB
DBD,DHANBAD,DBD
DBM,Debra Marcos,DBM
DBO,Dubbo,DBO
DBP,Debepare,DBP
DBQ,Dubuque Municipal,DBQ
DBT,Debra Tabor,DBT
DBV,Dubrovnik,DBV
DCA,R Reagan National,WAS
DCF,Cane Field,DOM
DCM,Castres - Mazamet,DCM
DCN,Derby Airport,DCN
DDC,Dodge City Municipal,DDC
DDI,Daydream Is,DDI
DDM,Dodoima,DDM
DDN,DELTA DOWNS,DDN
DEA,Dera Ghazi Khan Airport,DEA
DEB,Debrecen,DEB
DEC,Decatur,DEC
DED,Dehra Dun,DED
DEH,DECORAH MNPL,DEH
DEI,Denis Island,DEI
DEL,Indira Gandhi International,DEL
DEM,Dembidollo,DEM
DEN,Denver Internationa,DEN
DER,Derim,DER
DES,Desroches,DES
DET,Detroit City,DTT
DEZ,Deirezzor,DEZ
dfg,ghjghjgj,ALG
DFW,Ft Worth Int'l,DFW
DGA,Dangriga,DGA
DGE,Mudgee,DGE
DGO,Guadalupe Victoria,DGO
DGT,Dumaguete,DGT
DGU,Dedougou,DGU
DHA,King Abdulaziz Air Base,DHA
DHM,Gaggal,DHM
DHN,Dothan,DHN
DHR,Den Helder - De Kooy Airfield,DHR
DHT,Dalhart,DHT
DIB,Mohanbari,DIB
DIE,Antsiranana/Arrachart,DIE
DIJ,Dijon,DIJ
DIK,Dickinson Theodore Roosevelt Reg Airport,DIK
DIL,Comoro,DIL
DIM,Dimbokro,DIM
DIO,Diomede Island,DIO
DIQ,Divinopolis Airport,DIQ
DIR,Aba Tenna D Yilma,DIR
DIS,Loubomo,DIS
DIU,DIU,DIU
DIY,Diyarbakir,DIY
DJB,Sultan Taha Syarifudn,DJB
DJE,Melita,DJE
DJG,Inedbirenne,DJG
DJJ,Sentani,DJJ
DJM,Djambala,DJM
DJN,Delta Junction,DJN
DJO,Daloa,DJO
DKI,Dunk Island,DKI
DKR,Yoff,DKR
DLA,Douala,DLA
DLC,Dalian,DLC
DLE,Tavaux,DLE
DLG,Dillingham Municipal,DLG
DLH,Duluth Int'l,DLH
DLI,LIENKHANG,DLI
DLM,Dalaman,DLM
DLO,Dolomi,DLO
DLY,Dillons Bay,DLY
DMB,Zhambyl,DMB
DMD,Doomadgee,DMD
DME,Domodedovo,MOW
DMK,Don Mueang International Airport,DMK
DMM,King Fahad Intl,DMM
DMS,DAMMAM,DMM
DMU,Dimapur,DMU
DND,Dundee,DND
DNH,Dunhuang,DNH
DNK,Dnepropetrovsk,DNK
DNL,Daniel Field,AGS
DNQ,Deniliquin,DNQ
DNR,Pleurtuit,DNR
DNZ,Cardak,DNZ
DOA,Doany,DOA
DOD,Dodoma,DOD
DOF,Dora Bay,DOF
DOG,Dongola,DOG
DOH,Doha International,DOH
DOK,Donetsk,DOK
DOL,St Gatien,DOL
DOM,Melville Hall,DOM
DOR,Dori,DOR
DOU,Dourados,DOU
DOY,Dongying Shengli Airport,DSN
DPL,Dipolog,DPL
DPO,Devonport,DPO
DPS,Ngurah Rai,DPS
DQM,Duqm Airport,DQM
DRG,Deering,DRG
DRO,La Plata,DRO
DRS,Dresden,DRS
DRW,Darwin,DRW
DSA,Robin hood,DSA
DSC,Dschang,DSC
DSD,La Desirade,DSD
DSE,Comobolcha,DSE
DSM,Des Moines,DSM
DSN,Ordos Ejin Horo Airport,DSN
DSS,Blaise Diagne International Airport,DKR
DTB,Silangit Airport,DTB
DTD,Datadawai,DTD
DTI,Diamantina Airport,DTI
DTM,Dortmund,DTM
DTT,Detroit All Airports,DTT
DTW,Wayne County,DTT
DTZ,,DTZ
DUB,Dublin,DUB
DUD,Dunedin,DUD
DUE,Dundo,DUE
DUJ,Jefferson County,DUJ
DUM,Pinang Kampai,DUM
DUR,International,DUR
DUS,Dusseldorf,DUS
DVO,Mati,DVO
DWA,Dwangwa,DWA
DWB,Soalala,DWB
DWC,Al Maktoum International Airport,DXB
DWD,Dawadmi Domestic Airport,DWD
DXB,Dubai International,DXB
DYA,Dysart,DYA
DYG,Zhangjiajie Hehua Airport,DYG
DYU,Dushanbe,DYU
DZA,Dzaoudzi,DZA
DZN,Zhezkazgan Airport,DZN
EAA,Eagle,EAA
EAE,Emae,EAE
EAM,Najran Domestic Airport,EAM
EAP,Euroairport Basel,EAP
EAR,Kearney,EAR
EAS,San Sebastian,EAS
EAT,Pangborn Field,EAT
EAU,Eau Claire,EAU
EBA,Elba - Marina Di Campo Airport,EBA
EBB,Entebbe,EBB
EBD,El Obeid,EBD
EBG,El Bagre,EBG
EBJ,Esbjerg,EBJ
EBL,Erbil International,EBL
EBU,Boutheon,EBU
EBW,Ebolowa,EBW
ECG,Elizabeth City,ECG
ECN,Ercan,ECN
ECP,Northwest Florida Beaches Intl Airport,ECP
EDA,Edna Bay,EDA
EDB,Eldebba,EDB
EDI,Edinburgh,EDI
EDL,Eldoret,EDL
EDO,Edremit - Korfez,EDO
EDR,Edward River,EDR
EEK,Eek,EEK
EFD,Ellington Field,HOU
EFL,Argostolion,EFL
EGC,Roumanieres,EGC
EGE,Eagle County,EGE
EGM,Sege,EGM
EGN,Geneina,EGN
EGO,Belgorod,EGO
EGS,Egilsstadir,EGS
EGV,Eagle River,EGV
EGX,Egegik,EGX
EHL,El Bolson,EHL
EIA,Popondetta,EIA
EIN,Eindhoven,EIN
EIS,Beef Island,EIS
EJA,Variguies,EJA
EJH,Al Wajh Domestic Airport,EJH
EKN,Elkins,EKN
EKO,Elko,EKO
ELB,San Bernardo,ELB
ELC,Elcho Island,ELC
ELF,El Fasher,ELF
ELG,El Golea,ELG
ELH,North Eleuthera Int'l,ELH
ELI,Elim,ELI
ELJ,El Recreo,ELJ
ELL,Ellisras,ELL
ELM,Elmira,ELM
ELP,El Paso Int'l,ELP
ELQ,Prince Nayef Bin Abdulaziz Regional Airport,ELQ
ELS, East London,ELS
ELT,Tour Sinai City,ELT
ELU,Guermar,ELU
ELY,Yelland,ELY
EMA,East Midlands,NQT
EMD,Emerald,EMD
EME,Emden,EME
EMK,Emmonak,EMK
EMN,Nema,EMN
EMO,Emo,EMO
EMS,Embessa,EMS
EMX,El Maiten,EMX
ENA,Kenai,ENA
ENE,Ende,ENE
ENF,Enontekio,ENF
ENI,El Nido Lio Airport,ENI
ENS,Twente,ENS
ENT,Enewetak Island,ENT
ENU,Enugu,ENU
EOI,Eday,EOI
EPL,Mirecourt,EPL
EPR,Esperance,EPR
EPS,El Portillo Airport,EPS
EPU,Parnu,EPU
EQS,Esquel,EQS
ERC,Erzincan,ERC
ERF,Erfurt,ERF
ERH,Errachidia,ERH
ERI,Erie Int'l,ERI
ERM,Erechim Airport,ERM
ERN,EIRUNEPE,ERN
ERZ,Erzurum,ERZ
ESA,Esa'ala,ESA
ESB,Esenboga,ANK
ESC,Delta County,ESC
ESD,Orcas Island,ESD
ESF,Esler Field,AEX
ESH,Shoreham,ESH
ESK,Eskisehir Airport,ESK
ESM,Esmeraldas,ESM
ESP,East Stroudsburg,ESP
ESR,El Salvador,ESR
ESS,Essen,ESS
ESU,Essaouira,ESU
ETE,Genda Wuha,ETE
ETH,Elat,ETH
ETM,Ramon International Airport,BEV
ETZ,Nancy Metz,ETZ
EUA,Kaufana,EUA
EUG,Eugene,EUG
EUN,Hassan I,EUN
EUX,F D Roosevelt,EUX
EVE,Evenes,EVE
EVG,Sveg,EVG
EVN,Yerevan,EVN
EVV,Dress Regional,EVV
EWB,New Bedford,EWB
EWI,Enarotali,EWI
EWN,Simmons Nott,EWN
EWO,Ewo,EWO
EWR,Newark Int'l,NYC
EXS,St. Thomas Railway,EXS
EXT,Exeter,EXT
EYL,Yelimane,EYL
EYP,El Yopal,EYP
EYW,Key West Int'l,EYW
EZE,Ministro Pistarini,BUE
EZS,Elazig,EZS
FAA,Faranah,FAA
FAE,Vagar,FAE
FAH,Farah,FAH
FAI,Fairbanks Int'l,FAI
FAJ,Fajardo,FAJ
FAO,Faro,FAO
FAR,Hector Field,FAR
FAT,Fresno Airterminal,FAT
FAV,Fakarava,FAV
FAY,Fayetteville Municipal,FAY
FBA,Fonte Boa Airport,FBA
FBD,Faizabad,FBD
FBE,Francisco Beltrao Airport,FBE
FBM,Luano,FBM
FCA,Glacier National Park,FCA
FCN,Cuxhaven Nordholz Airport,FCN
FCO,Fiumicino,ROM
FDE,Bringeland,FDE
FDF,Lamentin,FDF
FDH,Friedrichshafen,FDH
FDU,Bandundu,FDU
FEC,Feira de Santana,FEC
FEG,Fergana,FEG
FEJ,FEIJO,FEJ
FEN,Fernando De Noron,FEN
FER,Fergusons Gulf,FER
FEZ,Sais,FEZ
FGD,Fderik,FGD
FGU,Fangatau,FGU
FHU,Libby Aaf,FHU
FHZ,Fakahina,FHZ
FIC,Fire Cove,FIC
FID,Elizabeth Field,FID
FIE,Fair Isle,FIE
FIG,Fria,FIG
FIH,N’Djili,FIH
FIN,Finschhafen,FIN
FJR,Fujairah Int'l,FJR
FKB,Baden airpark,FKB
FKI,Kisangani,FKI
FKL,Chess Lamber,FKL
FKQ,Fak Fak,FKQ
FLA,Capitolio,FLA
FLG,Pulliam Field,FLG
FLL,Fll Int'l,FLL
FLN,Hercilio Luz,FLN
FLO,Florence,FLO
FLR,Peretola,FLR
FLS,Flinders Island,FLS
FLT,Flat,FLT
FLW,Flores Island,FLW
FMA,El Pucu,FMA
FMI,Kalemie,FMI
FMM,Allgaeu,FMM
FMN,Farmington Municipal,FMN
FMO,Muenster,FMO
FMR,France Airport,XLA
FMY,Fort Myers Page Field,FMY
FNA,Lungi Int'l,FNA
FNC,Funchal,FNC
FNG,Fada Ngourma,FNG
FNI,Garons,FNI
FNJ,Sunan,FNJ
FNL,Fort Collins Love,FNL
FNT,Bishop,FNT
FOC,Fuzhou,FOC
FOD,Fort Dodge,FOD
FOE,Forbes Field,FOE
FOG,Foggia - Gino Lisa,FOG
FOM,Foumban,FOM
FOO,Numfoor,FOO
FOR,Pinto Martins,FOR
FOU,Fougamou,FOU
FPO,Freeport Int'l,FPO
FPR,St Lucie County,FPR
FRA,Frankfurt Int'l,FRA
FRB,Forbes,FRB
FRC,Franca,FRC
FRD,Friday Harbor,FRD
FRE,Fera Island,FRE
FRG,Republic Field,FRG
FRL,Luigi Ridolfi,FRL
FRM,Fairmont,FRM
FRO,Flora,FRO
FRP,Fresh Water Bay,FRP
FRS,Santa Elena,FRS
FRU,Bishkek,FRU
FRW,Francistown,FRW
FSC,Sud Corse,FSC
FSD,Sioux Falls Regional,FSD
FSM,Fort Smith Municipal,FSM
FSP,St Pierre,FSP
FTA,Futuna,FTA
FTE,Comandante Armando Tola Intl Airport,FTE
FTU,Marillac,FTU
FTX,Owando,FTX
FUE,Fuerteventura,FUE
FUJ,Fukue,FUJ
FUK,Fukuoka,FUK
FUL,Fullerton Municipal,FUL
FUN,Funafuti Atol Int'l,FUN
FUT,Futuna Island,FUT
FWA,Fort Wayne Municipal,FWA
FXO,Cuamba,FXO
FYV,Drake Field,FYV
GAD,Gadsden Municipal,GAD
GAJ,Junmachi,GAJ
GAL,Galena,GAL
GAM,Gambell,GAM
GAN,Gan Domestic Airport,GAN
GAO,Los Canos,GAO
GAQ,Gao,GAQ
GAS,Garissa,GAS
GAU,Borjhar,GAU
GAX,Gamba,GAX
GAY,Gaya,GAY
GBB,Qabala International Airport,GBB
GBC,Gasuke,GBC
GBD,Great Bend,GBD
GBE,Sir Seretse Khama Int'l,GBE
GBJ,Les Bases,GBJ
GBK,Gbangbatok,GBK
GBX,Granada Bus Station,GBX
GCA,Guacamaya,GCA
GCC,Campbell County,GCC
GCI,Guernsey,GCI
GCJ,Crand Central,JNB
GCK,Garden City Municipal,GCK
GCM,Owen Roberts Int'l,GCM
GCN,Grand Canyon National Park,GCN
GDI,Gordil,GDI
GDL,Miguel Hidal,GDL
GDN,Rebiechowo,GDN
GDQ,Gondar,GDQ
GDT,Grand Turk Is,GDT
GDV,Dawson Community,GDV
GDX,Magadan,GDX
GDZ,Gelendzhik Airport,GDZ
GEA,Magenta,NOU
GEB,Gebe,GEB
GEC,Gecitkale,GEC
GEG,Spokane Int'l,GEG
GEL,Sepe Tiaraju,GEL
GEO,Cheddi Jagan Int,GEO
GER,Rafael Cabrera,GER
GES,General Santos International Airport ,GES
GET,Geraldton,GET
GEV,Gallivare,GEV
GEW,Gewoya,GEW
GEY,South Big Horn County,GEY
GFF,Griffith,GFF
GFK,Grand Forks,GFK
GFN,Grafton,GFN
GFY,Grootfontein,GFY
GGG,Gregg County,GGG
GGH,ggbhhjj,AAH
GGN,Gagnoa,GGN
GGO,Guiglo,GGO
GGR,Garoe,GGR
GGS,Gdor  Gregores,GGS
GGT,George Town,GGT
GGW,Glasgow,GGW
GHA,Noumerate,GHA
GHB,Governors Harbour,GHB
GHC,Great Harbour,GHC
GHT,Ghat,GHT
GIB,North Front,GIB
GIC,Boigu Island,GIC
GID,Gitega,GID
GIG,Rio De Janeiro Int'l,RIO
GII,Siguiri,GII
GIS,Gisborne,GIS
GIZ,Jizan Regional Airport,GIZ
GJA,Guanaja,GJA
GJL,Jijel,GJL
GJT,Walker Field,GJT
GKA,Goroka,GKA
GKL,Great Keppel Island,GKL
GLA,Glasgow int'l,GLA
GLD,Renner Field,GLD
GLF,Golfito,GLF
GLH,Greenville,GLH
GLI,Glen Innes,GLI
GLK,Galcaio,GLK
GLN,Guelmim Airport,GLN
GLO,Gloucester,GLO
GLS,Scholes Field,GLS
GLT,Gladstone,GLT
GLV,Golovin,GLV
GLX,Galela,GLX
GMA,Gemena,GMA
GMB,Gambela,GMB
GME,Gomel,GME
GMM,Gamboma,GMM
GMO,Gombe Lawanti Intl Airport,GMO
GMP,Gimpo International,SEL
GMR,Gambier Island,GMR
GMZ,La Gomera,GMZ
GNB,Saint Geoirs,GNB
GND,Point Saline Int'l,GND
GNI,Green Island,GNI
GNM,Guanambi,GNM
GNN,Ghinnir,GNN
GNR,General Roca,GNR
GNS,Gunungsitoli,GNS
GNU,Goodnews Mumtrak,GNU
GNV,J R Alison Municipal,GNV
GNY,?anl?urfa GAP Airport,SFQ
GNZ,Ghanzi,GNZ
GOA,Cristoforo Colombo,GOA
GOB,Goba,GOB
GOC,Gora,GOC
GOH,Nuuk,GOH
GOI,Dabolim,GOI
GOJ,Nizhniy Novgorod,GOJ
GOM,Goma,GOM
GON,Groton-New London,GON
GOP,Gorakhpur,GOP
GOR,Gore,GOR
GOT,Landvetter,GOT
GOU,Garoua,GOU
GOV,Nhulunbuy,GOV
GOZ,Gorna Orechovitsa,GOZ
GPA,Araxos,GPA
GPB,Guarapuava Airport,GPB
GPI,Guapi,GPI
GPN,Garden Point,GPN
GPS,Baltra,GPS
GPT,Biloxi Regional,GPT
GPZ,Grand Rapids,GPZ
GRB,Austin-Straubel Field,GRB
GRG,Gardez,GRG
GRI,Grand Island,GRI
GRJ,George,GRJ
GRK,Killeen-Fort Hood Regional Airport,GRK
GRO,Costa Brava,GRO
GRP,Gurupi,GRP
GRQ,Eelde,GRQ
GRR,Kent County Int'l,GRR
GRS,Grosseto Airport,GRS
GRU,Guarulhos Int'l,SAO
GRV,Groznyj,GRV
GRW,Graciosa Island,GRW
GRX,Granada,GRX
GRY,Grimsey,GRY
GRZ,Thalerhof,GRZ
GSA,Long Pasia,GSA
GSE,Saeve,GOT
GSO,Greensboro,GSO
GSP,Greenville-Spartanbur,GSP
GTE,Alyangula,GTE
GTF,Great Fall Int'ls,GTF
GTN,Glentanner,MON
GTO,Tolotio,GTO
GTR,Golden Triangle Regional,UBS
GUA,La Aurora,GUA
GUC,Gunnison,GUC
GUD,Goundam,GUD
GUH,Gunnedah,GUH
GUI,Guiria,GUI
GUM,A.B Won Pat Intl,GUM
GUP,Senator Clark,GUP
GUQ,Guanare,GUQ
GUR,Gurney,GUR
GUV,Mougulu,GUV
GUW,Atyrau,GUW
GVA,Geneva,GVA
GVI,Green River,GVI
GVR,Governador Valada,GVR
GVX,Sandviien,GVX
GWD,Gwadar,GWD
GWE,Gweru,GWE
GWL,Gwalior,GWL
GWT,Westerland,GWT
GWY,Galway,GWY
GXF,Seiyun,GXF
GXG,Negage,GXG
GXQ,Coyhaique,GXQ
GXX,Yagoua,GXX
GYA,Guayaramerin,GYA
GYD,HEYDAR ALIYEV INTL ARPT,GYD
GYE,Guayaquil,GYE
GYI,Gisenyi,GYI
GYM,Gen Jose M Yanez,GYM
GYN,Santa Genoveva,GYN
GYR,Litchfield,GYR
GZO,Gizo,GZO
GZP,Gazipasa,GZP
GZT,Gaziantep,GZT
HAA,Hasvik,HAA
HAC,Hachijo Jima,HAC
HAD,Halmstad,HAD
HAE,Havasupai,HAE
HAH,Hahaya Aeroport Internation,YVA
HAI,DR HAINES,HAI
HAJ,Hanover,HAJ
HAK,Haikou,HAK
HAM,Fuhlsbuttel,HAM
HAN,HANOI,HAN
HAP,Long Island,HAP
HAR,Harrisburg Skyport,HAR
HAS,Ha'il Regional Airport,HAS
HAU,Haugesund,HAU
HAV,Jose Marti Int'l,HAV
HBA,Hobart International Airport,IDD
HBE,Alexandria - Burj,ALY
HBT,Hafar Al-Batin Domestic Airport,HBT
HBX,Hubli,HBX
HCM,Eyl Airport,HCM
HCR,Holy Cross,HCR
HDF,Heringsdorf - Garz,HDF
HDM,Hamadan,HDM
HDN,Yampa Valley,SBS
HDS,Hoedspruit,HDS
HDY,Hat yai,HDY
HEA,Herat,HEA
HEH,Heho,HEH
HEI,Heide Buesum,HEI
HEL,Helsinki-Vantaa,HEL
HER,N Kazantzakis,HER
HET,Hohhot,HET
HEX,Herrer,SDQ
HFA,Haifa,HFA
HFD,Brainard,HFD
HFE,Hefei,HFE
HFN,Hornafjordur,HFN
HFS,Hagfors Airport,HFS
HFT,Hammerfest,HFT
HGA,Hargeisa,HGA
HGD,Hughenden,HGD
HGH,Hangzhou,HGH
HGL,Helgoland,HGL
HGN,Mae Hong Son,HGN
HGO,Korhogo,HGO
HGR,Wash. County Regional,HGR
HGS,Hastings,FNA
HGU,Kagamuga,HGU
HHH,Hilton Head,HHH
HHN,Hahn,FRA
HHQ,Hua Hin,HHQ
HHR,Hawthorne,HHR
HIB,Chisholm,HIB
HIJ,Hiroshima Int'l,HIJ
HIN,Sacheon,HIN
HIR,Henderson Int'l,HIR
HIS,Hayman Island,HIS
HJR,Khajuraho,HJR
HKD,Hakodate,HKD
HKG,Hong Kong Int'l,HKG
HKK,Hokitika,HKK
HKN,Hoskins,HKN
HKT,Phuket Int'l,HKT
HKY,Hickory,HKY
HLA,Lanseria,HLA
HLD,Hailar,HLD
HLF,Hultsfred,HLF
HLH,Ulanhot,HLH
HLN,Helena,HLN
HLP,Halim Perdana Kusuma,JKT
HLY,Anglesey Airport,HLY
HLZ,Hamilton,HLZ
HMA,Malmo city HVC,MMA
HMB,Sohag International Airport,HMB
HME,Oued Irara,HME
HMJ,Khmelnitskiy,HMJ
HMO,Gen Pesqueira Garcia,HMO
HMT,Ryan Field,HMT
HMV,Hemavan - Tarneby,HMV
HNA,Hanamaki,HNA
HND,Haneda,TYO
HNH,Hoonah,HNH
HNL,Honolulu Int'l,HNL
HNM,Hana,HNM
HNS,Haines Municipal,HNS
HNY,Hengyang,HNY
HOB,Lea County,HOB
HOD,Hodeidah,HOD
HOE,Houeisay,HOE
HOF,Al-Ahsa Domestic Airport,HOF
HOG,Frank Pais,HOG
HOI,Hao Island,HOI
HOK,Hooker Creek,HOK
HOM,Homer,HOM
HON,Howes,HON
HOQ,Hof,HOQ
HOR,Horta,HOR
HOT,Memorial Field,HOT
HOU,Hobby,HOU
HOV,Hovden,HOV
HPA,Salote Pilolevu,HPA
HPB,Hooper Bay,HPB
HPH,Cat Bi,HPH
HPN,Westchester County,HPN
HPV,Princeville,LIH
HRB,Harbin,HRB
HRE,Harare,HRE
HRG,Hurghada,HRG
HRI,,HRI
HRK,Kharkov,HRK
HRL,Valley Int'l,HRL
HRO,Boone County,HRO
HSG,Saga Airport,HSG
HSI,Hastings,HSI
HSK,Huesca - Pirineos,HSK
HSL,Huslia,HSL
HST,Homestead,HST
HSV,Madison County,HSV
HTA,Chita,HTA
HTI,Hamilton Island,HTI
HTO,East Hampton,HTO
HTR,Hateruma,HTR
HTS,Huntington,HTS
HTY,Hatay Airport,HTY
HUB,HUMBERT RIVER,HUB
HUE,Humera,HUE
